ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Mining Date of Issue,Mining Date of Validity,Mining Other Info,Mining Status of Approval,Mining Estimated Reserve Names,Mining Estimated Reserve FL,Mining Estimated Reserve NFL,Mining Proved Reserves,Mining Indicated Reserves,Mining Inferred Reserves,Mining Mineable Reserves,Mining Approved Life of Mine,Mining Approving Authority Name,Mining Life of Mine Other Info,Mining Type of Mining,Mining Method of Mining,Mining Type of Mining Other Info,Mining Blasting Other Info,Mining External Dumping Remarks,Mining Internal Dumping Remarks,Mining Topsoil Dumping Remarks,Mining Total Quarry Area,Mining Quarry Other Info,Mining Transportation Mode From Pithead,Mining Transportation Mode From Loading,Mining Transportation Mode Other Info,Mining Plantation Area,Mining Water Body,Mining Public Use,Mining Other Use,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,Plot Number,District,Project Description,Employment (Operational),proposal_url,Village Code,Employment (Construction),KML URLs
132719594,New,FP/JK/REDIV/545845/2025,2025-07-24T10:35:46.061+00:00,,Pending at UA for DFO EDS Reply,2.1,1500000.0,BHARTI AIRTEL LIMITED,,Form-E: Re-Diversion i) Land Use Change ii) Laying of Overhead/ Under Ground OFC/ drinking water pipeline/ slurry pipeline/ electric cable/ CNG/PNG within RoW,,,,Banihal/Ramban-Banihal-UG to OH,JAMMU AND KASHMIR,Banihal,Neel,,,,Linear,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-24T10:53:14.904+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3rd Floor, B-2, South Block ;Bahu Plaza",Jammu,1,Private Limited,ROW Manager,Jammu,1,,,Ramban,"Plan for Laying OFC in Panthal, to Ramsoo by Installing New GI poles",602.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132719594,004540,302.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127188196&refType=caf&uuid=f3bbdee4-ae2a-45b2-baae-ed890628613a&version=1.0
132168225,New,SIA/JK/MIN/544916/2025,2025-07-16T06:16:07.890+00:00,,EDS raised,1.2,100.0,AAJAZ MAGRY,,Application for Validity Extension of EC- Form-6,OTHER,,,"River bed mining project Minor Mineral Block 09, (Resized working area 1.2ha.) Check Drugmula Bridge to Parepora Upstream Pohru Nallah Village Check Drugmula Tehsil & District Kupwara J.K. U.T in favour of Aajaz ahmad Magray",JAMMU AND KASHMIR,Handwara,Khan Pora,,JKEIAA/2020/373/7126-40,,Non - Linear,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-16T06:31:14.368+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kupwara,"River bed mining project Minor Mineral Block 09, (Resized working area 1.2ha.) Check Drugmula Bridge to Parepora Upstream Pohru Nallah Village Check Drugmula Tehsil & District Kupwara J.K. U.T in favour of Aajaz ahmad Magray",2700.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132168225,000170,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132166258&refType=caf&uuid=a12fc15f-bee1-40cf-ac3b-df296a72102d&version=1.0
132035169,New,SIA/JK/MIN/544671/2025,2025-07-14T06:54:00.301+00:00,,EDS raised,2.9,53.8972,MOHMAD MAQBOOL MIR,,Application for Validity Extension of EC- Form-6,OTHER,,,"River Bed Mining project of Minor Mineral at Wussan Bridge to chinar Upstream Brahmamsar Nar Block No. 08, Village- Wussan, Tehsil- Kangan, District-Ganderbal, State- Jammu & Kashmir by Shri Mohammad Maqbool Mir",JAMMU AND KASHMIR,Lar,Mani Gam,, JKEIAA/2021/547,,Linear,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-14T10:15:56.363+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganderbal,"River Bed Mining project of Minor Mineral at Wussan Bridge to chinar Upstream Brahmamsar Nar Block No. 08, Village- Wussan, Tehsil- Kangan, District-Ganderbal, State- Jammu & Kashmir by Shri Mohammad Maqbool Mir",825.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132035169,002852,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131989947&refType=caf&uuid=38457276-7671-4658-9c50-eecb2dedd59c&version=1.0
131756140,New,FP/JK/HYD/IRRIG/544192/2025,2025-07-08T14:17:55.296+00:00,,Pending at UA for DFO EDS Reply,1.83,2654.0,"JAMMU AND KASHMIR ENERGY DEVELOPMENT AGENCY (JAKEDA), S&T DEPTT. J&K",,Forest clearance form,,,,Sheshnag  Hydro Electric Power Station,JAMMU AND KASHMIR,Pahalgam,Fraslana,,,,Non - Linear,0.0,1.83,1.83,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-17T08:25:16.026+00:00,,,Degraded Forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bemina Srinagar New rehari jammu,,1,State Government (Department/Autonomous body),Assistant Engineer,BEMINA,1,,,Anantnag,Sheshnag  Hydro Electric Power Station,217300.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131756140,003520,87530.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131753656&refType=caf&uuid=e112551e-b7a8-4696-b4cc-9a7ec1c011ba&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=131753656&refType=FC&uuid=f09aa58d-0e5b-4f8a-a0b1-3e3d59626a4c&version=1.0
131411397,New,SIA/JK/MIN/543630/2025,2025-07-03T11:32:47.400+00:00,,DELISTED_BY_SYSTEM,8.92,97.33,MR. MOHD AMIN WANI S/O GH. MOHD WANI,,Environment clearance form,EC,B1,,Minor Mineral Quarry Cluster Masonry Stone Block ,JAMMU AND KASHMIR,Srinagar (South),Lasjan (CT),,,,Non - Linear,8.92,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-04T06:57:27.294+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srinagar,"Minor Mineral Quarry Cluster Masonry Stone Block at Khasra No. 147, Village- Dakteng (Zewan), Tehsil- Panthachowk, District- Srinagar, State- J&K (Lease Area- 8.92 Ha).",1828.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131411397,0,1828.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131381853&refType=caf&uuid=cb74a520-a654-4594-abe6-bb6e5df86353&version=1.0
131389645,New,SIA/JK/MIN/543591/2025,2025-07-03T08:49:48.677+00:00,,,8.92,97.33,MR. MOHD AMIN WANI S/O GH. MOHD WANI,Globus Environment Engineering Services,Environment clearance form,TOR,B1,Mining of minerals,Minor Mineral Quarry Cluster Masonry Stone Block ,JAMMU AND KASHMIR,Srinagar (South),Lasjan (CT),,,,Non - Linear,8.92,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-03T10:52:35.912+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srinagar,"Minor Mineral Quarry Cluster Masonry Stone Block at Khasra No. 147, Village- Dakteng (Zewan), Tehsil- Panthachowk, District- Srinagar, State- J&K (Lease Area- 8.92 Ha).",1828.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131389645,0,1828.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131381853&refType=caf&uuid=cb74a520-a654-4594-abe6-bb6e5df86353&version=1.0
131299653,New,FP/JK/ROAD/543465/2025,2025-07-02T09:41:22.106+00:00,,Pending at DFO for Scrutiny and Recommendation,11.052,990000000.0,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,,Forest clearance form,,,,Construction of 2 lanes of new alignment with paved shoulder for connecting link on Package-III from kandni village at Design CH-0+000 to 4+037 (Existing CH-70+900 to 74+650) of 4.037 km length on Khellani-Kishtwar-Chatroo section of NH-244 in the union territory of Jammu & Kashmir on EPC MODE,JAMMU AND KASHMIR,Kishtwar,Darab,,,675/520 min,Linear,10.895,0.157,11.052,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-05T18:30:00.000+00:00,,,Degraded Forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tower - A, World Trade Centre, Nauroji Nagar, New Delhi",,7,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",GENERAL MANAGER ENVIRONMENT,,7,,675/520 min,Kishtwar,Construction of 2 lanes of new alignment with paved shoulder for connecting link on Package-III from kandni village at Design CH-0+000 to 4+037 (Existing CH-70+900 to 74+650) of 4.037 km length on Khellani-Kishtwar-Chatroo section of NH-244 in the union territory of Jammu & Kashmir on EPC MODE,60400.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131299653,004683,600.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130949394&refType=caf&uuid=5514fa3b-6822-4f03-a589-86f193815f89&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=130949394&refType=FC&uuid=0ed7d3f8-8bb1-465d-b7ea-5d244c80b6f6&version=1.0
131147250,New,SIA/JK/MIN/543232/2025,2025-06-30T12:53:49.997+00:00,,DELISTED_BY_SYSTEM,2.6,100.0,NASIR MIR,,Application for Validity Extension of EC- Form-6,OTHER,,,"Minor Mineral River bed Material (RBM) Mining Project Block-8 Bumhama to Parepora Downstream, Pohru Nallah Village Bumhama Tehsil & District Kupwara, JK",JAMMU AND KASHMIR,Handwara,Ander Hama,,JKEIAA/2021/374/3076-89,,Non - Linear,2.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-30T12:57:25.456+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kupwara,"Minor Mineral River bed Material (RBM) Mining Project Block-8 Bumhama to Parepora Downstream, Pohru Nallah Village Bumhama Tehsil & District Kupwara, JK",4050.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131147250,000109,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131146262&refType=caf&uuid=2e252a8e-08ea-4492-a245-b45c77bf7434&version=1.0
131032310,New,SIA/JK/MIN/543087/2025,2025-06-28T13:34:34.540+00:00,,DELISTED_BY_SYSTEM,1.13,200.2,NAZIR WANI,,Application for Validity Extension of EC- Form-6,OTHER,,,"RBM Project located at Minor Mineral Block No.10, Shart Muqam Bridge to Check Drugmullah Upstream Nallah Pohru, Village Shath Muqam, Tehsil & District, Kupwara, J.K. U.T. (Reduced arca 1.13ha)",JAMMU AND KASHMIR,Handwara,Shat Muqam,,JKEIAA/2021/528/5090-5113,BLOCK-10,Non - Linear,1.13,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-28T13:43:53.553+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCK-10,Kupwara,"RBM Project located at Minor Mineral Block No.10, Shart Muqam Bridge to Check Drugmullah Upstream Nallah Pohru, Village Shath Muqam, Tehsil & District, Kupwara, J.K. U.T. (Reduced arca 1.13ha)",2700.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131032310,0,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131032142&refType=caf&uuid=c4f97f4c-ea8b-4b2e-b716-2bde566a258f&version=1.0
131031975,New,SIA/JK/MIN/543086/2025,2025-06-28T13:10:49.293+00:00,,DELISTED_BY_SYSTEM,2.38,60.0,MOHAMMAD RAINA,,Application for Validity Extension of EC- Form-6,OTHER,,,"Minor Mineral River Bed Material (RBM) Mining Project Block No.54 Kalampora Bridge to Link Road Dumpora Downstream Nallah Sasara, Village Kalampora, Tehsil Keegam District Shopian, JK UT",JAMMU AND KASHMIR,Pulwama,Kamrazi Pora,,JKEIAA/2021/527/4104-17,,Non - Linear,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-28T13:15:05.911+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulwama,"Minor Mineral River Bed Material (RBM) Mining Project Block No.54 Kalampora Bridge to Link Road Dumpora Downstream Nallah Sasara, Village Kalampora, Tehsil Keegam District Shopian, JK UT.",4050.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131031975,003236,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131031837&refType=caf&uuid=07088637-1b1d-4b65-81cb-e72dbafc476e&version=1.0
