ID,Project Description,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,KML URLs,District,Employment (Operational),Village Code,Employment (Construction),Plot Number,proposal_url
89813327,"Police training center will comprise of Academic/Admin Block, Mess, Hostels, Sports and fitness center, Residential Flats etc.",New,SIA/CH/INFRA2/490938/2024,2024-08-02T06:34:37.235+00:00,,DELISTED_BY_SYSTEM,12.29,9812.0,"Police H.Q Union Territory, Chandigarh",Eco Paryavaran Laboratories & Consultants Pvt. Ltd.  (formerly Eco Laboratories & Consultants Pvt. Ltd.),Environment clearance form,TOR,B2,Building / Construction,"Police training centre namely “Smart Police Training Centre-South Campus” at I.R.B Complex, Sarangpur, Chandigarh by Police H.Q Union Territory Chandigarh",CHANDIGARH,Chandigarh,CHANDIGARH,,,,Non - Linear,12.29,0.0,12.29,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-02-13T12:42:50.347+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=89532843&refType=caf&uuid=683eeea9-abea-4fb9-a70e-876f4e7726c4&version=1.0,Chandigarh,3650.0,0,14600.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=89813327
102345279,"Forest land proposed to be diverted is inescapable and other alternatives for the proposed project have been explored and the forest land proposed to be diverted is barest minimum. It is further certified that no suitable non-forest land is available for the diversion C/O for widening of road by removing the curve in front of Rock garden gate.
During the course of finalization of project land to be diverted, three alternatives were examined and there is no scope of any private land available in any alternative except forest land 0.0272Hect.",New,FP/CH/ROAD/496616/2024,2024-09-13T12:49:33.258+00:00,2025-01-16T09:12:15.983+00:00,Final Diversion Order Issued,0.0272,3.0,CONSTRUCTION CIRCLE 2 UT CHANDIGARH,,Forest clearance form,,,,Diversion of Forest Land i.e. 0.0272 ha for Widening of Road adjoining to the the rock garden and Punjab & Haryana High Court.,CHANDIGARH,Chandigarh,CHANDIGARH,,,43,Linear,0.0,0.0272,0.0272,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-09-12T18:30:00.000+00:00,Degraded Forest Land,true,"E.E. CP Division No.2, Chandigarh",,4,State Government (Department/Autonomous body),Executive Engineer CP Division No.2,,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=102341237&refType=caf&uuid=91db7f4b-5f82-468d-bffe-39f132cb9815&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=102341237&refType=FC&uuid=13cc537d-42c5-48c4-aceb-e65abb3b1815&version=1.0,Chandigarh,1105.0,0,50.0,43,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=102345279
109732843,"Forest land proposed to be diverted is inescapable and other alternatives for the proposed project have been explored and the forest land proposed to be diverted is barest minimum. It is further certified that no suitable non forest land is available for diversion C/O for widening of road by removing the curve in front of Rock garden gate. During the course of finalization of project land to be diverted, three alternatives were examined and there is no scope of any private land available in any alternative except forest lad 0.2159 Hactare",New,FP/CH/ROAD/501286/2024,2024-10-16T09:18:53.615+00:00,2025-01-16T11:56:27.622+00:00,Final Diversion Order Issued,0.2159,2000000.0,CONSTRUCTION CIRCLE 2 UT CHANDIGARH,,Forest clearance form,,,,Proposal for diversion of forest land i.e. 0.2159 Ha adjoining to rock garden at Pb. & Hry high court,CHANDIGARH,Chandigarh,CHANDIGARH,,,,Linear,0.0,0.2159,0.2159,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-11-04T18:30:00.000+00:00,Degraded Forest Land,true,"E.E. CP Division No.2, Chandigarh",chandigarh,4,State Government (Department/Autonomous body),Executive Engineer,chandigarh,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=109728049&refType=caf&uuid=60cd8bbd-46ca-4e08-ad79-2491d7833af4&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=109728049&refType=FC&uuid=37539e8d-331e-46b3-9cb3-d0f80533adbe&version=1.9,Chandigarh,128.0,0,135.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=109732843
112592624,"The project will comprise of main Critical Care Block (2B+G+6) having 182 bedded (150 Census beds + 32 Non-Census beds) along with Service block (G). The proposed built-up area of the project will be 24,381.9 sq.m.",New,SIA/CH/INFRA2/508510/2024,2024-11-27T06:49:26.431+00:00,2025-04-03T09:03:17.533+00:00,Withdrawal Request Accepted,1.0454,24381.0,POST GRADUATE INSTITUTE OF MEDICAL EDUCATION AND RESEARCH CHANDIGARH,Eco Paryavaran Laboratories & Consultants Pvt. Ltd.  (formerly Eco Laboratories & Consultants Pvt. Ltd.),Environment clearance form,TOR,B2,Building / Construction,"Critical Care Block (CCB) by M/s Post Graduate Institute of Medical Education & Research (PGIMER) at PGIMER, Sector-12, Chandigarh.",CHANDIGARH,Chandigarh,CHANDIGARH,,,,Hybrid,1.0454,0.0,1.0454,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-01T11:53:41.221+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=112589798&refType=caf&uuid=859f2cf8-3113-4ecd-8a91-1c851d148072&version=1.0,Chandigarh,109550.0,0,50.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=112592624
113724903,The line carrying sewer from Daria sewer sump to STP Raipur Khurd is under capacity due to which the sewer gets overflow from the manholes during pumping and flows on road and enter into Sukhna Choe which is against the guidelines of CPCC/NGT. Therefore additional pipeline has to be laid to overcome the problem of sewer overflow .,Expansion,FP/CH/REDIV/512579/2024,2024-12-03T10:18:20.139+00:00,,DELISTED_BY_SYSTEM,0.0,62.32,Gaurav Pal,,Form-E: Re-Diversion i) Land Use Change ii) Laying of Overhead/ Under Ground OFC/ drinking water pipeline/ slurry pipeline/ electric cable/ CNG/PNG within RoW,,,,Providing and laying of additional RCC NP-3 pipeline for carrying of sewer from village Daria sewer sump to STP Plant Raipur Khurd U.T. Chandigarh,CHANDIGARH,Chandigarh,CHANDIGARH,,,,Non - Linear,0.0,0.0,0.0,0.0,0.12,0.12,0.0,62.32,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-12-03T18:30:00.000+00:00,,,"Water Works near Saupins  School ,Sector 32 A, Chandigarh",,4,Individual,Sub Divisional Engineer,,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=113718871&refType=caf&uuid=0ca6d214-0a0e-4e22-a16b-45f50c248050&version=1.0,Chandigarh,0.0,0,0.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=113724903
114978771,The line carrying sewer from village daria sewer sump to STP Raipur Khurd is under capacity due to which sewer gets overflow and flows into near by Sukhna Choe passing through forest area which is against the guidlines of NGT/CPCC. Therefore an additional sewer line has been proposed to cater the sewer flowing in nearby Sukhna Choe through forest area.,New,FP/CH/Pipeline/514996/2024,2024-12-17T09:46:40.228+00:00,,DELISTED_BY_SYSTEM,1.0,62.32,Municipal Corporation Chandigarh,,Forest clearance form,,,,"Providing and laying of additional RCC NP-3 pipeline for carrying of sewer from village Daria sewer sump to STP Plant Raipur Khurd, U.T. Chandigarh",CHANDIGARH,Chandigarh,CHANDIGARH,,,,Linear,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The additional line has to be laid parallel to the existing sewerline and the disposal of the sewer has to be done through this route only and no other route is possible. As for sewer disposal proper slope is required which is possible through this route only.,NO,NO,NO,2025-03-05T18:30:00.000+00:00,,false,"Division No. 1, Sector 11 near Karuna Sadan , Chandigarh",Chandigarh,4,State Government (Department/Autonomous body),Executive Engineer,Chandigarh,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=114938161&refType=caf&uuid=25d18959-721c-444b-996b-da08e50c35b1&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=114938161&refType=FC&uuid=30e4d93d-a1d8-4cfa-b982-8093391c3f2d&version=1.0,Chandigarh,62.0,0,90.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=114978771
117505902,The present project is for the installation of a 550 TPD integrated solid waste management system at Dadu Majra. The location is a notified solid waste dumping site in Chandigarh.,New,IA/CH/INFRA2/518478/2025,2025-01-14T09:24:12.581+00:00,2025-02-21T04:35:24.002+00:00,EC Granted,18.255,40000.0,MUNICIPAL CORPORATION CHANDIGARH,,Environment clearance form,EC,A,,"Integrated Solid Waste Management System at Dadu Majra, Chandigarh",CHANDIGARH,Chandigarh,DADU MAJRA,21-27/2023-IA.III,,"18//24/1,25/2;   23//3/1/1,3/1/3;  23//3/2,4/1,4/3,5/2/2;  24//1/2,2/1,3/2,4/1,5/2,6/1,6/2,7,9.8,10,11/1,12,13,14,15,16,17,18,19/1,20/1,23/1/3,24/1,25/2;   25//1/2/1, 1/2/2, 2/1,3/2, 7/1/2, 8/2, 9,10,11,12/1, 12/2, 13,14/1, 17/2,18,19,20,21, 22,23,24/1,25/1,;   28//1/1,2,3,4,5/1,6/2,7,.8/1,9/1,14/1/1,14/2/3,14/3/1,14/4/1,15/1;  29//5/3",Non - Linear,18.255,0.0,18.255,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The present site was allotted by the government for solid waste dumping in 1988,YES,NO,NO,2025-01-14T13:08:53.719+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=8080014&refType=caf&uuid=b8e62380-04ae-45bc-a4f7-a243c87cd58d&version=1.0,Chandigarh,1095000.0,0,87600.0,"18//24/1,25/2;   23//3/1/1,3/1/3;  23//3/2,4/1,4/3,5/2/2;  24//1/2,2/1,3/2,4/1,5/2,6/1,6/2,7,9.8,10,11/1,12,13,14,15,16,17,18,19/1,20/1,23/1/3,24/1,25/2;   25//1/2/1, 1/2/2, 2/1,3/2, 7/1/2, 8/2, 9,10,11,12/1, 12/2, 13,14/1, 17/2,18,19,20,21, 22,23,24/1,25/1,;   28//1/1,2,3,4,5/1,6/2,7,.8/1,9/1,14/1/1,14/2/3,14/3/1,14/4/1,15/1;  29//5/3",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=117505902
121561284,commercial complex project,Amendment,SIA/CH/INFRA2/527491/2025,2025-03-04T09:35:59.450+00:00,,DELISTED_BY_SYSTEM,0.447,1951.5,RSA MOTORS PRIVATE LIMITED,Shivalik Solid Waste Management Limited,Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3,OTHER,B2,Building / Construction,Berkeley Square by M/s RSA motors pvt. ltd.,CHANDIGARH,Chandigarh,CHANDIGARH,,,plot no 24 industrial area phase 1,Hybrid,0.447,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,the project is already granted EC and is constructed. Currently project is going for amendment,NO,YES,NO,2025-03-05T09:30:01.532+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=121548239&refType=caf&uuid=176a2719-c86e-496e-a5ac-f0dec892f3b7&version=1.0,Chandigarh,655905.0,0,38325.0,plot no 24 industrial area phase 1,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=121561284
121730145,,,FP/CH/ACA/527873/2025,2025-03-06T04:59:23.349+00:00,,GRANTED,,,,,Accredited Compensatory Afforestation (ACA) Form,,,,,CHANDIGARH,,,,,,,,,,,,,,,,,,,,,,,2025-03-06T06:52:17.589+00:00,,,,,,,,,,,,,,,,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=121730145
122351530,"M/s Bhushan Power and Steel Limited, is operating a cold rolling steel manufacturing unit (involving pickling in the manufacturing process) at plot no. 71, Industrial Area, Phase-I, Chandigarh with valid CTO vide Consent No.: CPCC/2021/R1221/322208 dated 12/03/2021. As per EIA Notification 2006 and MoEF&CC notification dated 07th June 2024 the project falls under Item 3(a), Cat. B2 of the schedule of the EIA Notification, 2006.",New,IA/CH/IND1/529298/2025,2025-03-13T07:13:41.985+00:00,,EDS Raised,1.64,24505.0,BHUSHAN POWER & STEEL LIMITED,Shivalik Solid Waste Management Limited,Environment clearance form,TOR,B2,Metallurgical Industries (ferrous and non ferrous),"Cold rolling steel manufacturing unit at Plot No.71, Industrial area, Phase-I, Chandigarh by M/s Bhushan Power and Steel Limited",CHANDIGARH,Chandigarh,CHANDIGARH,IA-J-11011/93/2025-IA-II(Ind-I),,"Plot no. 71, Phase I Industrial area, Chandigarh",Hybrid,1.64,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-18T12:10:54.749+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=122349192&refType=caf&uuid=492456ac-20b6-424b-b080-7f944ddeec91&version=1.0,Chandigarh,107220.0,0,0.0,"Plot no. 71, Phase I Industrial area, Chandigarh",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=122351530
